"NestID"	"BaitID"	"ColorInd"	"ID"	"Date"	"Time"	"Observer"	"Distance"	"DirectionToNest"	"Flightdirection"	"FlightError"	"Flighttime"	"Flighttime_min"	"Cloudcoverage"	"Rain"	"Windspeed"	"Winddirection"	"Temperature"	"Winddifference_flightdirection"	"Wind_flight"	"Winddifference_nestdirection"	"Wind_nest"	"test_rule_of_thumb"	"ForagingSpeed"	"Urbanisation25m"	"Urbanisation50m"	"Urbanisation100m"	"Traject25m"	"Traject50m"	"Traject100m"	"Urbanisation"	"Weight_ind"	"Height"	"Individualcode"	"Baitcode"
"82"	37	"1"	"Red"	85	"10/19/2022"	"14:18"	"Y"	691	171.6	160	11.6	"0:06:20"	6.333	NA	NA	NA	NA	20	NA	NA	NA	NA	1.81851676404021	3.63703352808042	0.175085	0.05197	0.0225	0.03122	0.049517	0.041901	"Landelijk"	NA	14	"37_1_Red"	"37_1"
"83"	37	"2"	"Green"	87	"10/20/2022"	"14:28"	"Y"	412	178.5	150	28.5	"0:04:00"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.71666666666667	3.43333333333333	0	0.04522	0.0231	0.04754	0.045437	0.024403	"Landelijk"	NA	14	"37_2_Green"	"37_2"
"84"	38	"Apotheek"	"Blue"	91	"18/11/2022"	"12:02"	"A"	53	3	10	7	"0:02:07"	2.117	1	1	2	210	9	160	"upwind"	153	"upwind"	0.417257124862226	0.834514249724453	0.53504	0.53509	0.5326	0.580485	0.52926	0.49695	"Verstedelijkt"	NA	3	"38_Apotheek_Blue"	"38_Apotheek"
"85"	38	"Azaleapark"	"Blue"	90	"11/11/2022"	"14:48"	"A"	130	293	293	0	"0:01:20"	1.333	0.8	0	1	210	13	83	"perpendicular"	83	"perpendicular"	1.6254063515879	3.25081270317579	0.024306	0.215	0.3306	0.384699	0.3679	0.411898	"Verstedelijkt"	NA	3	"38_Azaleapark_Blue"	"38_Azaleapark"
"86"	38	"Azaleapark"	"Pink"	89	"11/11/2022"	"14:23"	"A"	130	293	293	0	"0:01:35"	1.583	0.8	0	1	210	13	83	"perpendicular"	83	"perpendicular"	1.36870920193725	2.7374184038745	0.024306	0.215	0.3306	0.384699	0.3679	0.411898	"Verstedelijkt"	NA	3	"38_Azaleapark_Pink"	"38_Azaleapark"
"87"	38	"Azaleapark"	"Unmarked"	88	"3/11/2022"	"12:15"	"A"	130	293	293	0	"0:01:40"	1.667	0.5	0	3	180	14	113	"perpendicular"	113	"perpendicular"	1.2997400519896	2.5994801039792	0.024306	0.215	0.3306	0.384699	0.3679	0.411898	"Verstedelijkt"	NA	3	"38_Azaleapark_Unmarked"	"38_Azaleapark"
"88"	39	"Apotheek"	"Red"	92	"17/11/2022"	"16:44"	"A"	33	23	20	3	"0:01:42"	1.7	0.3	0	2.5	210	10	170	"upwind"	173	"upwind"	0.323529411764706	0.647058823529412	0.53504	0.53509	0.5326	0.560763	0.537038	0.50496	"Verstedelijkt"	NA	NA	"39_Apotheek_Red"	"39_Apotheek"
"89"	40	"Goorstraat"	"White"	93	"1/11/2022"	"16:30"	"E"	164	25	70	45	"0:02:30"	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.09333333333333	2.18666666666667	0.171965	0.18087	0.1541	0.133207	0.133817	0.128943	"Randstedelijk"	NA	5	"40_Goorstraat_White"	"40_Goorstraat"
"90"	40	"Venstraat_tuin"	"Blue"	94	"7/11/2022"	"14:40"	"K"	82	240	200	40	"0:03:04"	3.067	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.445603738724052	0.891207477448103	0.10735	0.1103	0.0952	0.113122	0.125315	0.09034	"Randstedelijk"	NA	5	"40_Venstraat_tuin_Blue"	"40_Venstraat_tuin"
"91"	41	"Apotheek"	"Blue"	95	"17/10/2022"	"14:00"	"J"	869	13.3	3	10.3	"0:06:00"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.41388888888889	4.82777777777778	0.278679	0.277531	0.245115	0.125787	0.125389	0.130349	"Landelijk"	NA	12	"41_Apotheek_Blue"	"41_Apotheek"
"92"	41	"Werchtersebaan"	"Blue"	96	"17/10/2022"	"14:00"	"J"	1269	202	212	10	"0:09:00"	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.35	4.7	0.112268	0.182915	0.147197	0.050243	0.049277	0.064867	"Landelijk"	NA	12	"41_Werchtersebaan_Blue"	"41_Werchtersebaan"
